Duplicate Employees: 114
EmployeeDTO{emp_ID='421181', namePrefix='Mrs.', firstName='Sidney', middleInitial='X', lastName='Lindstrom', gender='F', email='sidney.lindstrom@cox.net', dob=1985-03-29, dateOfJoining=2017-06-08, salary=139848}
EmployeeDTO{emp_ID='315817', namePrefix='Mrs.', firstName='Marti', middleInitial='W', lastName='Brewton', gender='F', email='marti.brewton@gmail.com', dob=1979-04-16, dateOfJoining=2015-06-22, salary=198686}
EmployeeDTO{emp_ID='467080', namePrefix='Mr.', firstName='Dane', middleInitial='Y', lastName='Lomeli', gender='M', email='dane.lomeli@gmail.com', dob=1994-04-24, dateOfJoining=2016-03-07, salary=116255}
EmployeeDTO{emp_ID='816839', namePrefix='Dr.', firstName='Gerry', middleInitial='G', lastName='Doody', gender='M', email='gerry.doody@yahoo.ca', dob=1984-03-16, dateOfJoining=2010-11-28, salary=182630}
EmployeeDTO{emp_ID='173479', namePrefix='Prof.', firstName='Jefferey', middleInitial='C', lastName='Carver', gender='M', email='jefferey.carver@yahoo.co.uk', dob=1976-07-07, dateOfJoining=2009-03-25, salary=89940}
EmployeeDTO{emp_ID='945178', namePrefix='Ms.', firstName='Tanja', middleInitial='A', lastName='Ralph', gender='F', email='tanja.ralph@hotmail.com', dob=1971-06-16, dateOfJoining=2011-01-26, salary=153309}
EmployeeDTO{emp_ID='891653', namePrefix='Hon.', firstName='Marshall', middleInitial='U', lastName='Johanson', gender='M', email='marshall.johanson@yahoo.co.in', dob=1965-01-01, dateOfJoining=1992-09-04, salary=107590}
EmployeeDTO{emp_ID='945178', namePrefix='Ms.', firstName='Beulah', middleInitial='J', lastName='Weeks', gender='F', email='beulah.weeks@aol.com', dob=1975-04-05, dateOfJoining=2011-02-11, salary=139978}
EmployeeDTO{emp_ID='254060', namePrefix='Mrs.', firstName='Lanell', middleInitial='X', lastName='Dunford', gender='F', email='lanell.dunford@gmail.com', dob=1970-12-10, dateOfJoining=2002-09-22, salary=164718}
EmployeeDTO{emp_ID='195200', namePrefix='Prof.', firstName='Elvis', middleInitial='Q', lastName='Seitz', gender='M', email='elvis.seitz@msn.com', dob=1994-05-05, dateOfJoining=2017-06-06, salary=147053}
EmployeeDTO{emp_ID='577588', namePrefix='Mr.', firstName='Giuseppe', middleInitial='M', lastName='Lux', gender='M', email='giuseppe.lux@shell.com', dob=1962-04-10, dateOfJoining=1989-07-01, salary=78040}
EmployeeDTO{emp_ID='741457', namePrefix='Prof.', firstName='Hank', middleInitial='H', lastName='Sauter', gender='M', email='hank.sauter@yahoo.co.uk', dob=1987-05-25, dateOfJoining=2014-06-10, salary=102928}
EmployeeDTO{emp_ID='401576', namePrefix='Ms.', firstName='Cythia', middleInitial='V', lastName='Rosenblatt', gender='F', email='cythia.rosenblatt@cox.net', dob=1991-07-03, dateOfJoining=2016-10-25, salary=92374}
EmployeeDTO{emp_ID='517476', namePrefix='Mrs.', firstName='Twila', middleInitial='Q', lastName='Cherry', gender='F', email='twila.cherry@aol.com', dob=1991-12-07, dateOfJoining=2013-05-12, salary=122025}
EmployeeDTO{emp_ID='955733', namePrefix='Mr.', firstName='Marc', middleInitial='O', lastName='Mcleod', gender='M', email='marc.mcleod@yahoo.com', dob=1962-01-04, dateOfJoining=2017-02-28, salary=66858}
EmployeeDTO{emp_ID='214099', namePrefix='Mrs.', firstName='Alina', middleInitial='V', lastName='Kates', gender='F', email='alina.kates@gmail.com', dob=1966-10-28, dateOfJoining=2006-01-06, salary=154771}
EmployeeDTO{emp_ID='631859', namePrefix='Ms.', firstName='Evelin', middleInitial='U', lastName='Mariscal', gender='F', email='evelin.mariscal@gmail.com', dob=1988-02-17, dateOfJoining=2014-08-11, salary=66950}
EmployeeDTO{emp_ID='961538', namePrefix='Prof.', firstName='Carol', middleInitial='D', lastName='Guest', gender='M', email='carol.guest@hotmail.com', dob=1966-12-06, dateOfJoining=2017-06-12, salary=158646}
EmployeeDTO{emp_ID='581148', namePrefix='Mr.', firstName='Anton', middleInitial='X', lastName='Donnelly', gender='M', email='anton.donnelly@verizon.net', dob=1984-09-14, dateOfJoining=2007-12-29, salary=199561}
EmployeeDTO{emp_ID='281376', namePrefix='Mr.', firstName='Cary', middleInitial='R', lastName='Murr', gender='M', email='cary.murr@hotmail.com', dob=1985-01-04, dateOfJoining=2017-07-24, salary=157975}
EmployeeDTO{emp_ID='115718', namePrefix='Mr.', firstName='Oliver', middleInitial='V', lastName='Morris', gender='M', email='oliver.morris@hotmail.com', dob=1977-09-07, dateOfJoining=2010-11-18, salary=64972}
EmployeeDTO{emp_ID='556707', namePrefix='Ms.', firstName='Miss', middleInitial='C', lastName='Mccammon', gender='F', email='miss.mccammon@hotmail.com', dob=1975-12-18, dateOfJoining=2015-07-27, salary=126460}
EmployeeDTO{emp_ID='874818', namePrefix='Drs.', firstName='Nannie', middleInitial='J', lastName='Claiborne', gender='F', email='nannie.claiborne@yahoo.com', dob=1989-01-28, dateOfJoining=2016-08-05, salary=129120}
EmployeeDTO{emp_ID='443835', namePrefix='Ms.', firstName='Terresa', middleInitial='W', lastName='Forest', gender='F', email='terresa.forest@hotmail.com', dob=1987-10-20, dateOfJoining=2013-09-11, salary=162608}
EmployeeDTO{emp_ID='449321', namePrefix='Mr.', firstName='Mickey', middleInitial='Y', lastName='Squire', gender='M', email='mickey.squire@gmail.com', dob=1972-01-03, dateOfJoining=1998-04-10, salary=95031}
EmployeeDTO{emp_ID='968722', namePrefix='Ms.', firstName='Francoise', middleInitial='P', lastName='Mcbryde', gender='F', email='francoise.mcbryde@gmail.com', dob=1964-05-17, dateOfJoining=2017-02-26, salary=153855}
